0,505,237,300,315
1,505,237,300,318
2,491,238,300,321
3,479,238,300,324
4,479,238,300,327
5,461,240,300,330
6,455,240,300,333
7,438,241,300,336
8,431,241,300,339
9,419,241,300,342
10,409,241,300,345
11,406,241,300,348
12,395,241,300,351
13,386,241,300,354
14,373,241,300,357
15,356,241,300,360
16,350,242,300,363
17,341,241,300,366
18,334,241,300,369
19,321,241,300,372
20,311,241,300,375
21,303,241,300,378
22,292,241,300,381
23,276,240,300,384
24,269,240,300,387
25,264,240,300,390
26,255,240,300,393
27,247,239,300,396
28,226,238,300,399
29,223,239,300,402
30,213,239,300,405
