0,339,138,270,365
1,340,143,273,365
2,341,158,276,365
3,342,167,279,365
4,342,173,282,365
5,343,186,285,365
6,344,197,288,365
7,345,206,291,365
8,346,218,294,365
9,343,225,297,365
10,344,237,300,365
11,345,246,303,365
12,346,264,306,365
13,347,270,309,365
14,348,279,312,365
15,348,287,315,365
16,349,298,318,365
17,350,308,321,365
18,351,316,324,365
19,352,324,327,365
20,353,344,330,365
21,353,354,333,365
22,354,357,336,365
23,355,371,339,365
24,356,383,342,365
25,356,389,345,365
26,358,402,348,365
27,359,411,351,365
28,360,420,354,365
29,362,435,357,365
30,364,449,360,365
